Penicillium fellutanum	70095
Tolypocladium ophioglossoides	71617
Ophiocordyceps sinensis	72228
Sporisorium reilianum	72558
Cordyceps militaris	73501
Kluyveromyces nonfermentans	74104
Stachybotrys chartarum	74722
Aspergillus sydowii	75750
Malassezia globosa	76773
Malassezia restricta	76775
Malassezia slooffiae	76776
Malassezia sympodialis	76777
Malassezia pachydermatis	77020
Stachybotrys elegans	80388
Hyaloraphidium curvatum	82268
Trichosporon asahii	82508
Trichosporon faecale	82510
Trichosporon inkin	82517
Apiotrichum laibachii	82520
Sordaria brevicollis	83679
Anthracocystis flocculosa	84751
Pseudozyma flocculosa	84751
Moesziomyces antarcticus	84753
Pseudozyma antarctica	84753
Moesziomyces aphidis	84754
Rhodotorula kratochvilovae	86836
Monascus ruber	89489
Cystofilobasidium macerans	89926
Cunninghamella bertholletiae	90251
Saksenaea vasiformis	90258
Hericium erinaceus	91752
Exophiala alcalophila	91920
Exophiala spinifera	91928
Hortaea werneckii	91943
Lasiosphaeria ovina	92902
Cladosporium sphaerospermum	92950
Exserohilum turcicum	93612
Rhizopogon truncatus	98235
Massariosphaeria phaeospora	100035
Naganishia albida	100951
Chaetocladium brefeldii	101089
Gilbertella persicaria	101096
Mortierella multidivaricata	101098
Halteromyces radiatus	101107
Spinellus fusiger	101115
Hesseltinella vesiculosa	101127
Ellisomyces anomalus	101134
Thamnidium elegans	101142
Naganishia liquefaciens	104408
Aspergillus awamori	105351
Epicoccum nigrum	105696
Apiotrichum porosum	105984
Leucosporidium creatinivorum	106004
Dissoconium aciculare	112489
Tetrapisispora phaffii	113608
Thielavia hyrcaniae	113614
Saccharomyces kudriavzevii	114524
Fusarium verticillioides	117187
Pichia manshurica	121235
Phyllosticta capitalensis	121624
Talaromyces rugulosus	121627
Talaromyces pinophilus	128442
Cutaneotrichosporon dermatis	129132
Saccharata proteae	131308
Pallidocercospora crystallina	131340
Ascocoryne sarcoides	139061
Botrytis byssoidea	139641
Delphinella strobiligena	147560
Alternaria arborescens	156630
Bullera alba	157611
Tirmania nivea	160517
Teratosphaeria nubilosa	161662
Aspergillus nidulans	162425
Fusarium solani	169388
Malassezia dermatis	169489
Aspergillus funiculosus	176168
Coniochaeta ligniaria	177197
Chionosphaera cuniculicola	180810
Aspergillus chevalieri	182096
Stemphylium lycopersici	183478
Ustilago esculenta	185366
Yarrowia galli	197054
Leucoagaricus leucothites	201217
Ascochyta lentis	205686
